,Current Class,FACTOR: COST,FACTOR: LOCATION,FACTOR: PROGRAM,FACTOR: ONLINE,FACTOR: REFERRAL,FACTOR: STAFF,FACTOR: COLLEGE REPUTATION,FACTOR: FINANCIAL AID,FACTOR: SCHOLARSHIPS,FACTOR: CLASS SIZE (S),FACTOR: OPPORTUNITY,FACTOR: TRANSFERING IN,FACTOR: PAST NEGATIVE EXPERIENCE,FACTOR: NJ STARS,FACTOR: TRANSFERING OUT,FACTOR: CREDIT IN HIGHSCHOOL,DEGREE/PROGRAM,CONTINUED INTEREST (1-5),INTEREST: WEB DEVELOPMENT,INTEREST: CYBERSECURITY,INTEREST: APP DEVELOPMENT,INTEREST: DATA ANALYTICS,INTEREST: ARTIFICIAL INTELLIGENCE,INTEREST: COMPUTER PROGRAMMING,INTEREST: GAME DESIGN,INTEREST: HARDWARE INSTALLATION & REPAIR,Age
53,CMP 101 Computer Information Literacy,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Nursing,4,No,Yes,Yes,No,No,No,No,No,21-24
54,CMP 126 Computer Technology and Applications,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Child and Family Studies,2,No,No,No,Yes,No,No,No,No,21-24
55,CMP 126 Computer Technology and Applications,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Criminal Justice,2,No,Yes,No,No,No,No,No,No,19-20
56,CMP 101 Computer Information Literacy,,High Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Theatre Technology,2,No,No,No,No,No,No,No,No,19-20
57,CMP 126 Computer Technology and Applications,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,Child and Family Studies,2,No,No,No,No,No,No,No,No,35-64
58,CMP 101 Computer Information Literacy,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,Liberal Arts,3,Yes,No,Yes,No,No,No,No,No,19-20
59,CMP 101 Computer Information Literacy,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,,No Impact,No Impact,High Impact,No Impact,Radiography,2,No,No,No,No,No,No,No,No,19-20
60,CMP 101 Computer Information Literacy,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Early Childhood Education,3,No,Yes,No,No,No,Yes,No,Yes,25-34
61,CMP 101 Computer Information Literacy,High Impact,High Impact,Some Impact,No Impact,Some Impact,,High Impact,High Impact,,,,,,,No Impact,,Liberal Arts,5,Yes,No,No,Yes,Yes,No,No,No,35-64
62,CMP 101 Computer Information Literacy,Some Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,Liberal Arts,3,Yes,Yes,Yes,No,Yes,Yes,Yes,No,19-20
